,Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
65889,2016,11,1163,100,1263,56,H,0,36,66,5,22,23,32,14,38,20,8,8,15,24,19,63,5,19,13,28,17,23,9,14,4,2,27
65890,2016,11,1170,66,1113,63,A,0,26,56,6,17,8,14,11,30,14,17,3,5,25,23,55,2,17,15,27,11,23,12,11,6,5,19
65891,2016,11,1173,84,1369,53,H,0,27,52,8,22,22,37,13,39,23,17,7,8,26,20,64,5,25,8,23,16,20,11,15,6,2,28
65892,2016,11,1174,62,1175,56,A,0,19,48,8,25,16,23,10,34,13,15,2,6,9,24,64,8,29,0,2,7,22,7,8,10,3,21
65893,2016,11,1181,92,1373,74,H,0,30,66,6,25,26,36,15,29,9,10,8,5,17,27,64,7,16,13,21,12,28,11,17,7,2,29
65894,2016,11,1184,107,1164,80,H,0,40,75,9,29,18,26,12,30,24,11,10,3,29,27,67,6,21,20,32,17,27,16,20,4,0,23
65895,2016,11,1185,70,1436,50,H,0,25,58,2,11,18,23,10,26,8,9,15,7,18,16,52,8,26,10,18,13,27,9,21,4,7,21
65896,2016,11,1187,61,1212,53,H,0,14,45,4,17,29,42,13,31,10,15,7,2,16,21,58,8,29,3,8,8,24,11,15,7,2,26
65897,2016,11,1188,79,1117,70,H,0,21,55,7,22,30,40,11,31,13,7,4,5,20,26,72,7,20,11,15,19,28,14,11,2,1,27
65898,2016,11,1189,85,1150,74,A,0,33,69,8,24,11,16,10,31,14,17,4,0,26,24,65,6,16,20,34,13,28,7,11,7,4,18
65899,2016,11,1196,59,1298,41,A,0,23,49,3,19,10,19,13,34,8,19,8,6,19,17,59,4,19,3,12,14,19,9,13,7,2,19
65900,2016,11,1201,69,1337,66,H,0,25,63,2,17,17,30,11,29,13,12,15,8,26,20,52,4,17,22,34,9,35,10,18,5,0,25
65901,2016,11,1202,63,1342,53,H,0,18,52,3,14,24,39,22,28,6,14,7,2,19,22,53,4,21,5,13,7,22,12,14,4,4,28
65902,2016,11,1203,85,1248,76,H,0,27,62,2,17,29,40,19,31,13,10,7,7,26,20,60,7,25,29,33,11,21,9,9,6,2,31
65903,2016,11,1210,116,1165,81,H,0,47,78,8,23,14,23,20,28,30,6,8,2,19,28,60,13,31,12,19,8,16,14,13,2,0,21
65904,2016,11,1213,82,1340,72,H,0,23,64,3,15,33,40,19,27,13,12,9,1,22,26,58,4,16,16,29,13,26,3,15,8,4,29
65905,2016,11,1216,92,1148,83,A,2,28,67,10,24,26,33,5,39,12,6,7,3,21,30,75,9,30,14,25,13,37,15,13,2,9,24
65906,2016,11,1218,87,1286,76,H,0,32,62,8,23,15,26,15,20,21,13,14,5,23,23,52,10,23,20,26,12,20,12,21,4,0,22
65907,2016,11,1220,96,1145,85,H,0,35,65,11,28,15,24,13,28,23,13,7,1,12,34,71,11,32,6,9,11,23,17,12,4,2,20
65908,2016,11,1221,67,1265,64,A,0,23,55,8,23,13,15,5,27,14,9,4,2,18,23,56,4,24,14,19,10,27,11,11,3,4,19
65909,2016,11,1231,88,1183,49,H,0,32,61,9,27,15,25,21,30,15,16,9,3,23,17,50,4,16,11,19,5,12,5,15,7,0,25
65910,2016,11,1234,76,1205,59,H,0,24,59,7,24,21,28,16,30,15,14,8,6,19,19,60,6,23,15,21,14,25,10,17,7,0,28
65911,2016,11,1235,68,1160,62,N,0,29,65,2,10,8,15,8,35,12,12,7,2,18,23,63,9,23,7,11,6,32,14,18,7,3,21
65912,2016,11,1237,72,1232,70,A,0,23,48,5,14,21,30,7,27,7,17,2,1,29,23,56,4,18,20,35,13,22,6,13,9,1,25
65913,2016,11,1241,87,1350,75,A,0,30,59,11,24,16,24,16,24,16,11,5,0,19,27,52,5,17,16,26,6,17,14,7,7,1,22
65914,2016,11,1242,109,1294,72,H,0,34,61,15,26,26,34,9,29,27,15,7,4,24,22,56,7,21,21,26,7,23,8,21,6,1,35
65915,2016,11,1243,80,1271,53,H,0,24,62,5,23,27,41,17,27,13,10,13,1,23,14,47,5,21,20,27,7,26,6,22,6,1,31
65916,2016,11,1246,78,1107,65,H,0,28,50,6,17,16,24,12,22,16,20,6,8,21,25,58,1,14,14,22,13,15,4,15,9,0,26
65917,2016,11,1252,65,1365,63,A,2,19,62,8,32,19,29,11,33,15,19,8,3,20,20,64,9,32,14,19,14,37,16,21,6,4,29
65918,2016,11,1257,86,1359,45,H,0,30,56,7,15,19,29,9,37,19,14,9,9,22,13,62,3,19,16,22,15,22,5,18,7,5,27
65919,2016,11,1258,79,1168,74,H,0,25,72,6,24,23,29,17,24,13,10,6,4,22,27,57,6,16,14,19,9,33,18,18,4,2,26
65920,2016,11,1260,76,1427,64,H,0,26,48,8,18,16,20,7,22,19,21,6,2,19,22,51,6,20,14,16,9,17,8,23,7,1,22
65921,2016,11,1261,81,1270,70,H,0,28,61,9,20,16,32,16,30,17,10,8,3,23,24,62,5,23,17,23,11,28,7,11,4,2,24
65922,2016,11,1268,80,1291,56,H,0,33,56,7,18,7,9,7,37,15,14,5,3,13,19,61,10,33,8,11,4,16,10,7,6,1,14
65923,2016,11,1274,86,1410,59,H,0,26,62,10,31,24,33,15,30,14,8,6,0,16,22,55,7,19,8,12,6,28,9,15,4,1,26
65924,2016,11,1277,82,1194,55,H,0,30,62,5,13,17,28,18,35,25,13,1,12,14,20,59,5,20,10,14,5,21,9,10,5,3,25
65925,2016,11,1278,76,1282,58,H,0,25,55,12,28,14,20,8,29,20,13,6,7,12,20,62,12,24,6,11,16,26,13,17,10,1,20
65926,2016,11,1279,90,1322,76,H,0,29,61,8,26,24,28,12,32,16,11,8,5,17,25,70,8,30,18,21,15,21,13,9,4,1,22
65927,2016,11,1280,106,1186,88,H,0,41,66,5,17,19,24,12,28,14,13,4,7,21,33,65,6,22,16,22,9,16,9,11,8,0,20
65928,2016,11,1281,83,1459,74,H,0,28,50,5,12,22,32,5,32,12,9,4,1,24,21,55,10,27,22,33,8,21,12,7,3,0,24
65929,2016,11,1284,84,1417,81,A,1,27,72,7,29,23,29,9,28,13,7,16,4,25,26,69,8,21,21,33,22,38,13,23,2,6,22
65930,2016,11,1285,74,1129,72,H,0,21,44,7,29,25,36,8,22,9,12,4,2,22,28,50,8,26,8,12,4,22,13,14,4,1,29
65931,2016,11,1295,79,1413,71,A,1,34,77,7,23,4,9,13,29,13,9,7,1,21,26,61,4,13,15,31,12,34,13,12,5,3,14
65932,2016,11,1296,83,1169,71,H,0,24,54,11,24,24,34,11,28,16,12,8,3,24,26,55,4,12,15,31,13,23,15,14,7,1,27
65933,2016,11,1305,73,1157,56,N,0,26,65,5,17,16,24,14,32,13,9,10,8,19,18,60,4,15,16,28,17,28,8,17,5,4,22
65934,2016,11,1307,86,1411,57,H,0,32,54,5,17,17,25,8,27,20,13,9,5,25,17,49,6,21,17,26,9,15,10,19,9,0,23
65935,2016,11,1308,91,1223,69,H,0,34,58,6,17,17,20,10,37,20,17,4,6,24,24,66,6,21,15,22,10,15,13,9,10,0,21
65936,2016,11,1314,91,1396,67,N,0,34,67,7,12,16,23,15,34,17,9,6,7,16,24,62,9,25,10,17,9,23,13,8,5,4,20
65937,2016,11,1316,93,1228,81,N,0,35,67,17,33,6,8,4,32,20,6,2,6,21,32,71,5,16,12,23,12,28,14,5,2,2,14
65938,2016,11,1318,87,1131,84,A,1,26,57,11,24,24,33,8,29,13,9,5,4,19,30,65,11,29,13,21,9,29,21,9,3,3,22
65939,2016,11,1321,79,1262,57,H,0,29,64,9,29,12,22,13,32,18,6,3,5,19,18,56,8,21,13,20,9,28,10,12,4,2,22
65940,2016,11,1323,87,1384,56,H,0,29,68,10,29,19,25,21,32,12,10,6,3,23,17,52,6,18,16,23,8,23,7,12,5,1,19
65941,2016,11,1329,91,1404,57,H,0,33,59,7,21,18,24,7,32,12,5,7,5,15,21,56,4,20,11,16,6,24,5,10,3,0,24
65942,2016,11,1330,67,1310,50,H,0,26,57,3,12,12,21,14,23,13,11,9,5,16,18,55,2,17,12,18,16,22,5,16,5,4,22
65943,2016,11,1331,80,1283,65,H,0,24,56,8,17,24,32,11,26,17,9,9,4,21,22,54,6,16,15,22,9,28,10,17,5,6,25
65944,2016,11,1332,80,1238,52,H,0,25,51,10,24,20,28,9,29,16,16,8,9,18,19,60,4,20,10,13,11,22,8,16,5,1,24
65945,2016,11,1335,76,1352,75,H,0,29,57,10,26,8,11,4,25,25,14,4,1,15,28,60,9,20,10,18,9,27,15,11,8,4,13
65946,2016,11,1343,64,1351,56,A,0,22,55,9,24,11,17,9,29,14,10,5,4,15,21,57,5,17,9,9,7,29,15,11,5,2,17
65947,2016,11,1345,81,1299,40,H,0,24,53,12,31,21,32,12,37,21,13,4,8,22,14,58,0,15,12,18,10,24,5,13,5,1,29
65948,2016,11,1348,65,1110,42,H,0,24,46,4,13,13,31,11,23,8,13,8,5,17,16,46,2,14,8,13,10,19,4,17,8,3,27
65949,2016,11,1356,77,1102,75,H,0,28,67,6,24,15,28,17,21,14,6,8,1,26,22,51,4,20,27,33,10,26,10,12,2,1,21
65950,2016,11,1357,76,1346,64,N,0,23,60,2,11,28,51,11,32,8,8,15,3,28,21,64,8,27,14,33,21,39,8,21,4,9,33
65951,2016,11,1361,71,1229,60,H,0,23,48,3,15,22,37,11,34,9,18,3,8,23,20,65,6,16,14,22,12,21,11,10,4,4,29
65952,2016,11,1362,78,1227,75,A,0,24,63,8,23,22,39,17,37,15,16,3,2,23,28,76,8,25,11,18,16,32,17,10,6,9,31
65953,2016,11,1364,60,1303,59,A,0,22,63,4,22,12,16,15,28,10,20,9,3,25,17,49,3,22,22,35,11,28,10,19,10,3,18
65954,2016,11,1371,84,1171,67,H,0,29,47,4,8,22,43,13,32,20,20,7,6,21,24,63,6,18,13,16,9,18,16,13,8,3,32
65955,2016,11,1382,63,1127,53,H,0,20,54,4,19,19,25,8,35,12,14,9,4,21,17,57,5,24,14,17,6,31,8,19,4,2,23
65956,2016,11,1385,66,1447,57,H,0,21,47,9,20,15,25,6,32,12,14,3,5,22,19,60,8,22,11,20,15,27,8,12,7,2,26
65957,2016,11,1386,82,1180,81,H,0,25,53,4,18,28,39,12,24,12,16,5,6,23,29,64,5,16,18,28,15,22,11,10,4,3,29
65958,2016,11,1389,77,1135,65,H,0,27,67,6,22,17,31,12,33,12,7,8,1,19,21,61,7,33,16,22,8,34,13,14,4,4,24
65959,2016,11,1390,93,1453,89,H,1,31,60,6,18,25,42,12,33,10,21,4,12,21,30,77,10,21,19,28,15,25,11,17,12,2,35
65960,2016,11,1393,57,1250,47,H,0,18,52,11,34,10,12,9,31,13,17,10,7,16,15,52,2,17,15,22,11,27,8,15,11,1,17
65961,2016,11,1395,90,1368,77,H,0,24,49,6,12,36,47,10,30,11,19,6,10,21,27,65,10,28,13,20,13,21,16,17,11,3,37
65962,2016,11,1397,82,1421,78,H,0,30,57,4,16,18,26,9,24,16,11,8,6,16,29,65,6,17,14,18,14,22,12,13,8,1,25
65963,2016,11,1398,86,1259,71,A,0,29,55,5,15,23,28,7,29,14,16,5,4,28,19,55,6,19,27,43,12,21,9,13,8,4,27
65964,2016,11,1401,104,1367,64,H,0,38,57,13,24,15,27,10,36,32,18,5,5,20,22,67,7,23,13,23,12,16,12,13,7,2,22
65965,2016,11,1403,77,1219,73,H,0,24,47,6,22,23,35,9,26,13,17,5,3,22,25,56,10,18,13,20,11,21,15,16,6,1,33
65966,2016,11,1407,82,1378,77,A,0,32,78,4,20,14,27,18,32,14,9,13,3,15,26,71,10,31,15,17,15,34,14,17,5,10,23
65967,2016,11,1424,74,1142,72,H,0,23,51,3,14,25,40,14,28,16,19,4,5,24,26,65,7,25,13,16,13,21,13,14,9,1,30
65968,2016,11,1425,83,1360,45,H,0,32,67,6,21,13,18,15,40,15,14,4,11,23,15,61,6,31,9,26,15,21,7,12,3,5,19
65969,2016,11,1428,82,1381,71,H,0,30,64,8,29,14,25,16,25,15,10,2,6,11,28,56,10,19,5,7,5,24,10,13,3,3,23
65970,2016,11,1429,73,1451,70,A,0,28,61,8,20,9,15,11,24,13,11,4,0,20,22,48,8,19,18,23,4,26,11,11,3,2,18
65971,2016,11,1433,75,1341,50,H,0,28,66,7,23,12,18,19,28,18,17,17,8,19,17,56,4,13,12,19,15,23,11,22,8,4,21
65972,2016,11,1434,78,1236,64,H,0,24,50,5,16,25,38,11,28,13,12,10,4,15,23,52,9,22,9,15,7,22,13,18,6,2,27
65973,2016,11,1435,80,1122,41,H,0,32,72,8,19,8,15,17,34,17,9,6,8,19,14,64,1,16,12,19,17,28,1,14,4,0,14
65974,2016,11,1437,91,1192,54,H,0,32,69,10,36,17,25,14,39,20,12,6,4,19,17,63,7,26,13,18,9,28,12,13,10,0,25
65975,2016,11,1438,86,1288,48,H,0,32,65,5,18,17,26,23,27,16,8,4,3,17,17,50,7,27,7,11,5,16,10,12,7,1,20
65976,2016,11,1442,69,1458,67,A,0,27,50,7,9,8,12,8,23,11,10,0,4,24,22,62,7,21,16,25,21,18,8,4,6,6,15
65977,2016,11,1448,78,1420,73,H,0,26,69,3,20,23,30,24,35,12,16,2,11,21,26,65,9,25,12,25,11,25,12,9,10,4,27
65978,2016,11,1449,77,1400,71,N,0,25,72,3,20,24,40,25,37,12,17,8,8,34,19,73,2,15,31,48,24,27,5,13,7,8,28
65979,2016,11,1450,82,1319,70,H,0,31,68,10,24,10,16,15,27,20,18,11,7,21,22,59,4,16,22,30,13,26,9,18,10,1,16
65980,2016,11,1452,107,1297,61,H,0,33,68,6,25,35,46,23,24,20,15,20,4,26,21,47,5,16,14,23,8,18,9,30,7,0,32
65981,2016,11,1454,71,1176,58,N,0,21,49,9,27,20,21,12,19,18,14,6,0,15,22,42,7,17,7,10,3,16,16,15,6,1,23
65982,2016,11,1455,88,1149,63,H,0,25,57,7,25,31,41,16,32,14,8,4,4,27,18,48,8,25,19,30,6,23,8,13,0,1,39
65983,2016,11,1456,85,1301,68,A,0,31,60,9,22,14,19,11,31,16,14,10,2,17,27,71,6,22,8,14,16,22,15,10,8,5,17
65984,2016,11,1460,77,1377,69,N,0,24,57,10,24,19,25,5,29,15,10,7,3,20,23,56,8,24,15,23,8,32,14,15,2,4,23
65985,2016,11,1462,81,1275,72,H,0,24,58,7,21,26,34,18,24,15,15,9,1,24,22,49,9,20,19,25,7,18,12,17,6,2,28
65986,2016,11,1463,70,1193,57,N,0,22,58,5,21,21,27,19,28,14,14,7,1,17,20,50,7,21,10,13,4,20,14,15,6,7,26
65987,2016,12,1103,65,1156,53,N,0,24,53,7,19,10,19,12,29,13,15,5,3,18,18,57,4,18,13,22,15,23,6,13,10,3,22
65988,2016,12,1106,85,1439,82,A,0,30,71,9,28,16,21,15,21,12,8,4,4,29,27,57,3,12,25,40,14,27,13,11,4,6,19
65989,2016,12,1111,76,1239,68,H,0,24,65,8,23,20,30,20,34,16,12,3,5,16,24,62,9,21,11,18,9,25,10,10,6,4,26
65990,2016,12,1130,75,1383,49,H,0,28,60,6,16,13,22,15,34,9,13,5,5,18,17,61,6,24,9,19,14,25,7,13,5,6,23
65991,2016,12,1132,79,1309,61,H,0,25,55,6,23,23,32,9,33,13,15,6,5,21,22,62,4,14,13,21,11,27,8,15,5,3,27
65992,2016,12,1139,144,1154,71,H,0,56,88,8,26,24,33,18,45,27,11,15,2,26,20,74,10,47,21,27,12,16,9,20,5,1,28
65993,2016,12,1161,84,1320,78,A,0,30,62,9,30,15,20,7,26,14,8,5,2,20,28,58,11,30,11,13,6,28,16,11,4,2,21
65994,2016,12,1166,93,1411,70,H,0,38,72,10,28,7,12,14,25,22,10,8,2,22,26,52,7,17,11,22,9,23,10,20,5,1,19
65995,2016,12,1169,72,1460,67,N,0,22,44,3,7,25,33,5,26,13,12,8,3,12,25,55,12,22,5,9,6,22,13,14,6,1,28
65996,2016,12,1172,90,1416,85,H,0,30,75,9,37,21,28,12,35,18,6,5,4,24,29,68,9,25,18,29,12,39,18,11,1,7,24
65997,2016,12,1176,55,1365,33,A,0,20,44,13,31,2,3,3,31,14,12,6,1,11,11,47,4,23,7,10,6,22,9,10,4,2,14
65998,2016,12,1177,69,1444,63,H,0,21,46,2,15,25,36,6,28,10,10,3,5,21,20,54,6,28,17,23,9,24,9,14,3,0,32
65999,2016,12,1181,113,1136,75,H,0,39,73,13,26,22,29,20,23,17,6,14,6,16,28,58,13,26,6,12,11,16,13,19,1,2,23
66000,2016,12,1225,74,1363,54,A,0,23,50,5,14,23,31,7,35,12,17,2,6,28,18,62,4,29,14,25,11,21,13,13,7,2,27
66001,2016,12,1245,79,1464,70,H,0,28,65,6,18,17,28,18,35,14,16,6,3,17,24,60,9,29,13,22,7,27,22,13,8,3,25
66002,2016,12,1246,87,1312,57,H,0,32,69,5,21,18,24,22,32,14,14,6,9,18,17,55,5,19,18,22,7,16,8,14,6,2,22
66003,2016,12,1247,78,1406,76,H,0,22,52,9,26,25,30,6,26,11,8,4,2,24,23,61,7,19,23,33,19,26,16,11,4,4,23
66004,2016,12,1269,85,1224,79,H,0,26,50,5,20,28,44,10,21,12,18,11,5,20,29,62,7,19,14,22,15,22,13,20,13,2,31
66005,2016,12,1272,67,1379,49,H,0,23,58,3,18,18,25,8,29,17,7,14,7,12,18,67,9,31,4,7,21,27,13,19,5,1,18
66006,2016,12,1296,72,1377,65,H,0,27,59,8,18,10,19,17,27,14,14,7,5,17,24,53,10,19,7,13,6,20,14,15,8,2,23
66007,2016,12,1304,97,1290,51,H,0,31,57,10,22,25,34,12,32,17,15,11,3,21,15,58,3,16,18,24,15,20,6,21,10,2,27
66008,2016,12,1325,85,1195,75,H,0,28,58,4,22,25,34,13,32,13,13,5,3,17,29,66,4,17,13,18,8,23,14,8,7,5,28
66009,2016,12,1336,62,1440,50,H,0,23,54,5,19,11,18,13,25,4,9,6,5,16,18,49,7,22,7,12,10,23,7,14,3,0,21
66010,2016,12,1344,76,1217,64,H,0,27,68,4,16,18,21,15,21,13,7,14,6,14,24,53,9,20,7,13,12,28,16,22,3,7,20
66011,2016,12,1347,82,1207,80,A,2,32,73,10,25,8,18,15,28,9,15,10,2,30,25,53,7,22,23,32,5,32,14,17,4,7,20
66012,2016,12,1374,85,1358,50,H,0,31,49,7,14,16,24,8,34,22,14,9,9,16,17,61,6,27,10,19,14,16,9,12,9,2,22
66013,2016,12,1376,84,1313,69,H,0,23,59,9,22,29,42,19,27,15,13,9,4,19,19,56,11,28,20,23,12,23,12,18,7,3,35
66014,2016,12,1409,98,1146,81,H,0,38,65,10,21,12,17,10,20,20,11,9,2,17,29,57,11,23,12,17,10,22,14,18,5,3,20
66015,2016,12,1426,77,1200,72,H,0,28,65,9,25,12,21,19,24,14,15,7,3,14,27,61,12,26,6,6,10,24,16,17,6,8,18
66016,2016,12,1454,71,1252,65,N,0,27,68,9,33,8,11,16,30,18,18,7,5,10,25,63,10,30,5,8,10,29,19,12,8,0,14
66017,2016,12,1457,102,1214,95,H,0,31,59,13,27,27,36,6,27,11,16,4,7,22,35,79,10,27,15,25,22,30,11,17,8,4,29
66018,2016,13,1119,75,1127,60,A,0,25,61,11,30,14,20,9,33,17,15,6,2,27,19,52,3,14,19,33,8,29,8,19,7,4,19
66019,2016,13,1153,106,1352,44,H,0,38,71,11,24,19,26,16,28,32,11,18,8,14,13,47,5,20,13,17,6,18,8,29,7,1,20
66020,2016,13,1155,78,1427,45,H,0,27,53,12,25,12,23,12,33,22,14,6,8,14,18,58,6,25,3,6,9,19,7,13,8,2,21
66021,2016,13,1170,77,1370,65,A,0,27,64,9,29,14,27,13,27,18,10,8,2,24,24,68,4,27,13,23,24,30,12,16,5,2,21
66022,2016,13,1176,82,1252,69,N,0,28,63,16,37,10,11,9,21,26,7,6,4,18,22,51,10,23,15,19,9,27,17,11,3,5,11
66023,2016,13,1191,80,1369,65,H,0,24,54,4,15,28,34,10,37,17,14,2,9,23,25,59,5,14,10,22,6,24,14,10,7,2,27
66024,2016,13,1199,109,1311,62,H,0,40,61,10,20,19,28,7,35,18,13,11,1,23,22,58,7,26,11,22,4,17,9,17,5,0,23
66025,2016,13,1218,74,1157,63,H,0,20,52,9,25,25,37,9,26,10,13,9,1,23,20,52,8,25,15,21,6,26,9,20,8,4,32
66026,2016,13,1228,80,1295,74,N,0,28,57,7,17,17,27,7,28,15,12,7,4,17,27,61,11,27,9,10,6,25,12,15,5,2,23
66027,2016,13,1234,103,1164,68,H,0,40,72,12,28,11,20,10,41,31,11,5,6,18,24,74,8,28,12,22,14,30,13,12,6,0,20
66028,2016,13,1248,87,1389,86,H,1,29,64,11,22,18,20,6,25,16,9,7,6,25,30,71,6,19,20,29,20,30,11,15,3,2,21
66029,2016,13,1278,67,1419,56,H,0,22,58,3,22,20,22,9,32,12,12,4,4,19,21,62,3,16,11,16,14,29,7,17,6,2,22
66030,2016,13,1281,73,1271,55,H,0,21,47,8,19,23,30,8,21,12,8,6,4,17,17,44,7,20,14,22,10,21,7,13,4,1,25
66031,2016,13,1296,65,1460,59,H,0,20,44,5,16,20,32,10,25,7,11,7,4,15,21,50,10,22,7,9,5,20,12,13,2,1,24
66032,2016,13,1301,88,1375,70,H,0,29,57,6,16,24,34,10,37,14,14,4,5,23,23,73,9,26,15,25,18,24,9,10,5,2,24
66033,2016,13,1305,83,1286,62,N,0,30,60,2,13,21,28,14,26,10,10,5,7,23,17,57,5,21,23,28,15,18,5,13,3,1,24
66034,2016,13,1307,83,1308,74,A,0,27,60,7,17,22,23,14,23,5,12,1,2,27,25,62,5,24,19,26,15,19,7,9,3,4,20
66035,2016,13,1314,92,1193,65,H,0,33,66,8,23,18,32,14,31,22,10,8,3,20,23,65,10,35,9,15,15,24,14,19,7,2,24
66036,2016,13,1326,76,1291,54,H,0,28,56,6,15,14,17,13,37,10,18,3,4,12,21,63,7,25,5,7,6,16,7,8,3,0,16
66037,2016,13,1335,77,1148,61,H,0,26,59,9,27,16,25,10,28,15,9,5,0,13,25,59,3,14,8,11,7,29,5,12,6,4,22
66038,2016,13,1345,107,1436,79,H,0,36,65,18,36,17,27,8,25,24,5,7,4,24,27,56,5,16,20,24,7,25,14,17,1,5,25
66039,2016,13,1350,108,1391,85,H,0,42,77,15,31,9,14,15,30,29,12,9,10,12,33,70,11,23,8,10,8,24,19,14,6,1,14
66040,2016,13,1353,82,1224,70,H,0,24,56,2,14,32,46,15,27,18,20,11,2,25,24,55,2,12,20,34,10,21,12,19,9,4,31
66041,2016,13,1356,81,1197,51,H,0,29,61,7,20,16,26,14,30,18,18,13,3,22,16,53,5,20,14,19,8,25,6,24,8,1,24
66042,2016,13,1371,69,1447,59,H,0,20,47,5,17,24,28,9,28,12,23,8,3,18,23,61,6,20,7,15,17,20,12,20,12,0,28
66043,2016,13,1377,76,1169,72,N,0,27,57,7,21,15,20,3,27,18,7,5,3,24,23,53,7,18,19,26,6,30,17,13,1,2,20
66044,2016,13,1386,73,1310,62,H,0,26,59,6,18,15,21,7,33,18,12,5,7,20,20,66,9,29,13,19,15,30,11,16,6,3,23
66045,2016,13,1387,85,1216,68,H,0,28,53,3,13,26,40,4,29,16,7,7,4,23,22,50,9,25,15,22,3,29,15,16,2,2,32
66046,2016,13,1390,93,1149,59,H,0,32,55,5,12,24,40,14,31,20,8,6,4,23,17,49,9,28,16,26,7,16,11,16,2,1,30
66047,2016,13,1413,79,1339,66,H,0,29,57,7,14,14,18,12,41,12,20,4,2,17,27,80,11,31,1,6,16,17,12,11,9,5,20
66048,2016,13,1414,77,1258,53,H,0,27,51,5,19,18,26,9,33,17,17,12,6,20,17,62,4,17,15,19,16,20,8,16,9,2,25
66049,2016,13,1417,88,1142,83,H,0,32,64,4,15,20,30,13,29,22,11,8,3,17,28,63,13,27,14,23,12,23,17,14,5,0,27
66050,2016,13,1434,83,1233,58,H,0,23,54,9,22,28,36,9,33,15,16,8,9,20,18,62,6,23,16,18,11,27,12,17,9,3,26
66051,2016,13,1441,90,1421,81,H,0,31,59,7,21,21,26,7,20,19,9,9,0,29,24,44,5,14,28,37,6,22,8,19,4,4,26
66052,2016,13,1448,90,1137,82,A,0,29,63,4,12,28,38,14,31,12,9,3,6,24,24,62,11,29,23,29,10,22,18,8,6,4,28
66053,2016,13,1454,71,1365,65,A,0,21,44,7,23,22,30,5,20,13,16,10,0,21,24,47,6,15,11,22,8,22,10,19,6,1,27
66054,2016,13,1458,92,1373,65,H,0,31,53,5,12,25,30,10,27,12,10,2,2,23,22,56,3,16,18,27,11,15,9,10,5,4,23
66055,2016,14,1102,80,1399,70,H,0,29,49,3,12,19,32,5,29,19,13,8,3,25,21,65,7,29,21,31,20,23,11,14,8,5,27
